0.308287	0.435516	-0.339822
0.204128	-1.00377	1.75161
-0.024687	1.55951	-1.00377
3.13268	-0.0246871	0.204128
-0.468092	0.016834	0.236139
0.016834	-0.116074	0.844513
0.0160118	-0.493871	0.27941
0.850256	0.416486	0.016834
0.152614	0.00287146	0.131934
-0.113381	0.00101574	0.522384
-0.854286	-0.354082	0.50346
-0.47087	-1.05036	0.588971
0.208543	-1.12701	0.675677
-0.859942	0.209227	-0.47087
-0.694207	-0.0993205	0.856774
1.18596	-0.488946	-0.750949
5	-0.000459981	0.00439207
0.00638707	-0.00232072	-0.000894198
-0.00413343	0.00214341	0.00667537
